,Aggregated name,Species links,Catalogue of Fishes ID,Taxonomic standing,Eschmeyer accepted name 
fila.297,Brachirus-pan,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=50196,50196,Valid,Brachirus pan
fila.298,Brachirus-panoides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23622,23622,Valid,Brachirus panoides
fila.299,Brachygobius-nunus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=49909,49909,Valid,Brachygobius nunus
fila.300,Brachymystax-lenok,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=10551,10551,Valid,Brachymystax lenok
fila.301,Brachymystax-savinovi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=24913,24913,Valid,Brachymystax savinovi
fila.302,Brachyplatystoma-capapretum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=68744,68744,Valid,Brachyplatystoma capapretum
fila.303,Brachyplatystoma-filamentosum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=5677,5677,Valid,Brachyplatystoma filamentosum
fila.304,Brachyplatystoma-juruense,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=48303,48303,Valid,Brachyplatystoma juruense
fila.305,Brachyplatystoma-platynemum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=50501,50501,Valid,Brachyplatystoma platynema
fila.306,Brachyplatystoma-rousseauxii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=51034,51034,Valid,Brachyplatystoma rousseauxii
fila.307,Brachyplatystoma-tigrinum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=5959,5959,Valid,Brachyplatystoma tigrinum
fila.308,Brachyplatystoma-vaillantii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=5669,5669,Valid,Brachyplatystoma vaillantii
fila.309,Brevimyrus-niger,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=49756,49756,Valid,Brevimyrus niger
fila.310,Brevitrygon-imbricata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=7256,7256,Valid,Brevitrygon imbricata
fila.311,Brienomyrus-longianalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=9885,9885,Valid,Brienomyrus longianalis
fila.312,Bryaninops-isis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=7844,7844,Valid,Bryaninops isis
fila.313,Brycinus-brevis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3861,3861,Valid,Brycinus brevis
fila.314,Brycinus-imberi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3872,3872,Valid,Brachyalestes imberi
fila.315,Brycinus-jacksonii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3878,3878,Valid,Brachyalestes jacksonii
fila.316,Brycinus-lateralis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3880,3880,Valid,Brachyalestes lateralis
fila.317,Brycinus-leuciscus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3885,3885,Valid,Brycinus leuciscus
fila.318,Brycinus-luteus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3890,3890,Valid,Brycinus luteus
fila.319,Brycinus-macrolepidotus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4181,4181,Valid,Brycinus macrolepidotus
fila.320,Brycinus-nurse,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4198,4198,Valid,Brachyalestes nurse
fila.321,Brycinus-sadleri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3902,3902,Valid,Brachyalestes sadleri
fila.322,Brycon-amazonicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29564,29564,Valid,Brycon amazonicus
fila.323,Brycon-atrocaudatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29527,29527,Valid,Brycon atrocaudatus
fila.324,Brycon-behreae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3986,3986,Valid,Brycon behreae
fila.325,Brycon-cephalus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4279,4279,Synonym,Brycon amazonicus
fila.326,Brycon-falcatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4168,4168,Valid,Brycon falcatus
fila.327,Brycon-ferox,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29546,29546,Valid,Brycon ferox
fila.328,Brycon-gouldingi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=68200,68200,Valid,Brycon gouldingi
fila.329,Brycon-hilarii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29547,29547,Valid,Brycon hilarii
fila.330,Brycon-melanopterus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29554,29554,Valid,Brycon melanopterus
fila.331,Brycon-nattereri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29560,29560,Valid,Brycon nattereri
fila.332,Brycon-orbignyanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29566,29566,Valid,Brycon orbignyanus
fila.333,Brycon-orthotaenia,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4273,4273,Valid,Brycon orthotaenia
fila.334,Brycon-pesu,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4327,4327,Valid,Brycon pesu
fila.335,Brycon-whitei,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=24920,24920,Valid,Brycon whitei
fila.336,Bryconalestes-longipinnis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29253,29253,Valid,Bryconalestes longipinnis
fila.337,Bryconamericus-cismontanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=28516,28516,Valid,Knodus cismontanus
fila.338,Bryconamericus-deuterodonoides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=33336,33336,Valid,Knodus deuterodonoides
fila.339,Bryconamericus-orinocoensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=67487,67487,Valid,Bryconamericus orinocoensis
fila.340,Bryconops-caudomaculatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=46273,46273,Valid,Bryconops caudomaculatus
fila.341,Bunaka-gyrinoides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18547,18547,Valid,Bunaka gyrinoides
fila.342,Butis-amboinensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18549,18549,Valid,Butis amboinensis
fila.343,Butis-butis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20217,20217,Valid,Butis butis
fila.344,Butis-humeralis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=48027,48027,Valid,Butis humeralis
fila.345,Butis-koilomatodon,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=44095,44095,Valid,Butis koilomatodon
fila.346,Butis-melanostigma,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=49276,49276,Synonym,Butis humeralis
fila.347,Caecula-pterygera,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=58024,58024,Valid,Caecula pterygera
fila.348,Caenotropus-labyrinthicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4207,4207,Valid,Caenotropus labyrinthicus
fila.349,Callogobius-hasseltii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20592,20592,Valid,Callogobius hasseltii
fila.350,Callogobius-seshaiyai,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=24999,24999,Valid,Mangarinus seshaiyai
fila.351,Calophysus-macropterus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=5540,5540,Valid,Calophysus macropterus
fila.352,Campostoma-anomalum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3152,3152,Valid,Campostoma anomalum
fila.353,Campostoma-oligolepis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1981,1981,Valid,Campostoma oligolepis
fila.354,Capoeta-barroisi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=65063,65063,Valid,Paracapoeta barroisi
fila.355,Capoeta-capoeta,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=31947,31947,Valid,Capoeta capoeta
fila.356,Capoeta-pestai,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=53259,53259,Valid,Capoeta pestai
fila.357,Caragobius-burmanicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=54930,54930,Valid,Brachyamblyopus burmanicus
fila.358,Caragobius-urolepis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=52121,52121,Valid,Caragobius urolepis
fila.359,Carangoides-malabaricus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=49070,49070,Valid,Platycaranx malabaricus
fila.360,Caranx-hippos,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=15385,15385,Valid,Caranx hippos
fila.361,Caranx-sexfasciatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=15369,15369,Valid,Caranx sexfasciatus
fila.362,Carassius-auratus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2009,2009,Valid,Carassius auratus
fila.363,Carassius-carassius,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3101,3101,Valid,Carassius carassius
fila.364,Carcharhinus-dussumieri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=26376,26376,Valid,Carcharhinus dussumieri
fila.365,Carcharhinus-hemiodon,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6868,6868,Valid,Carcharhinus hemiodon
fila.366,Carcharhinus-leucas,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=26330,26330,Valid,Carcharhinus leucas
fila.367,Carcharhinus-limbatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=26334,26334,Valid,Carcharhinus limbatus
fila.368,Carcharhinus-melanopterus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6835,6835,Valid,Carcharhinus melanopterus
fila.369,Carinotetraodon-travancoricus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=44450,44450,Valid,Carinotetraodon travancoricus
fila.370,Carpiodes-carpio,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2960,2960,Valid,Carpiodes carpio
fila.371,Carpiodes-cyprinus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3044,3044,Valid,Carpiodes cyprinus
fila.372,Carpiodes-velifer,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2961,2961,Valid,Carpiodes velifer
fila.373,Caspiomyzon-hellenicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=8488,8488,Valid,Caspiomyzon hellenicus
fila.374,Caspiomyzon-wagneri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6516,6516,Valid,Caspiomyzon wagneri
fila.375,Catathyridium-garmani,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=56486,56486,Valid,Catathyridium garmani
fila.376,Catlocarpio-siamensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3380,3380,Valid,Catlocarpio siamensis
fila.377,Catoprion-mento,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4165,4165,Valid,Catoprion mento
fila.378,Catostomus-ardens,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2962,2962,Valid,Catostomus ardens
fila.379,Catostomus-bernardini,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2963,2963,Valid,Catostomus bernardini
fila.380,Catostomus-cahita,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=7754,7754,Valid,Catostomus cahita
fila.381,Catostomus-catostomus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3087,3087,Valid,Catostomus catostomus
fila.382,Catostomus-clarkii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2966,2966,Valid,Pantosteus clarkii
fila.383,Catostomus-columbianus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2968,2968,Valid,Catostomus columbianus
fila.384,Catostomus-commersonii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2969,2969,Valid,Catostomus commersonii
fila.385,Catostomus-discobolus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30457,30457,Valid,Pantosteus discobolus
fila.386,Catostomus-fumeiventris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2973,2973,Valid,Catostomus fumeiventris
fila.387,Catostomus-insignis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2974,2974,Valid,Catostomus insignis
fila.388,Catostomus-latipinnis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2975,2975,Valid,Catostomus latipinnis
fila.389,Catostomus-leopoldi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=7755,7755,Valid,Catostomus leopoldi
fila.390,Catostomus-macrocheilus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2977,2977,Valid,Catostomus macrocheilus
fila.391,Catostomus-microps,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2978,2978,Valid,Catostomus microps
fila.392,Catostomus-nebuliferus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=28755,28755,Valid,Pantosteus nebuliferus
fila.393,Catostomus-occidentalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2979,2979,Valid,Catostomus occidentalis
fila.394,Catostomus-platyrhynchus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2980,2980,Valid,Pantosteus platyrhynchus
fila.395,Catostomus-plebeius,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2982,2982,Valid,Pantosteus plebeius
fila.396,Catostomus-rimiculus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2983,2983,Valid,Catostomus rimiculus
fila.397,Catostomus-santaanae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=33360,33360,Valid,Pantosteus santaanae
fila.398,Catostomus-snyderi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30489,30489,Valid,Catostomus snyderi
fila.399,Catostomus-tahoensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30497,30497,Valid,Catostomus tahoensis
fila.400,Catostomus-utawana,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30455,30455,Valid,Catostomus utawana
fila.401,Catostomus-warnerensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30498,30498,Valid,Catostomus warnerensis
fila.402,Catostomus-wigginsi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30499,30499,Valid,Catostomus wigginsi
fila.403,Centropomus-ensiferus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=15746,15746,Valid,Centropomus ensiferus
fila.404,Centropomus-parallelus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=15751,15751,Valid,Centropomus parallelus
fila.405,Centropomus-undecimalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19597,19597,Valid,Centropomus undecimalis
fila.406,Centropristis-striata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=15858,15858,Valid,Centropristis striata
fila.407,Cephalocassis-borneensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=5571,5571,Valid,Hemipimelodus borneensis
fila.408,Cephalocassis-jatia,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4695,4695,Valid,Arius jatius
fila.409,Ceratoglanis-pachynema,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=65480,65480,Valid,Ceratoglanis pachynema
fila.410,Cestraeus-oxyrhyncus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=33860,33860,Valid,Cestraeus oxyrhyncus
fila.411,Cestraeus-plicatilis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19871,19871,Valid,Cestraeus plicatilis
fila.412,Cetopsis-coecutiens,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=46540,46540,Valid,Cetopsis coecutiens
fila.413,Cetopsis-plumbea,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=50532,50532,Valid,Cetopsis plumbea
fila.414,Chaca-chaca,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6047,6047,Valid,Chaca chaca
fila.415,Chagunius-chagunio,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3457,3457,Valid,Chagunius chagunio
fila.416,Chagunius-nicholsi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=31414,31414,Valid,Chagunius nicholsi
fila.417,Chalceus-macrolepidotus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4143,4143,Valid,Chalceus macrolepidotus
fila.418,Chanda-nama,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19917,19917,Valid,Chanda nama
fila.419,Channa-argus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19483,19483,Valid,Channa argus
fila.420,Channa-bankanensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=34178,34178,Valid,Channa bankanensis
fila.421,Channa-barca,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=34179,34179,Valid,Channa barca
fila.422,Channa-gachua,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19501,19501,Valid,Channa gachua
fila.423,Channa-lucius,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19490,19490,Valid,Channa lucius
fila.424,Channa-marulioides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19495,19495,Valid,Channa marulioides
fila.425,Channa-marulius,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19493,19493,Valid,Channa marulius
fila.426,Channa-melasoma,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19496,19496,Valid,Channa melasoma
fila.427,Channa-micropeltes,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19497,19497,Valid,Channa micropeltes
fila.428,Channa-orientalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19562,19562,Valid,Channa orientalis
fila.429,Channa-punctata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19608,19608,Valid,Channa punctata
fila.430,Channa-striata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19505,19505,Valid,Channa striata
fila.431,Chanodichthys-abramoides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=44737,44737,Valid,Chanodichthys abramoides
fila.432,Chanodichthys-erythropterus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3648,3648,Valid,Chanodichthys erythropterus
fila.433,Chanodichthys-mongolicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=60666,60666,Valid,Chanodichthys mongolicus
fila.434,Chanodichthys-oxycephalus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=50132,50132,Valid,Chanodichthys oxycephalus
fila.435,Chanos-chanos,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=27660,27660,Valid,Chanos chanos
fila.436,Charax-gibbosus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4137,4137,Valid,Charax gibbosus
fila.437,Charax-metae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=33474,33474,Valid,Charax metae
fila.438,Charax-michaeli,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=56783,56783,Valid,Charax michaeli
fila.439,Charax-tectifer,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4424,4424,Valid,Charax tectifer
fila.440,Chasmistes-brevirostris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2985,2985,Valid,Chasmistes brevirostris
fila.441,Chasmistes-cujus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2986,2986,Valid,Chasmistes cujus
fila.442,Chasmistes-liorus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2987,2987,Valid,Chasmistes liorus
fila.443,Chasmistes-muriei,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=8857,8857,Valid,Chasmistes muriei
fila.444,Cheimarrichthys-fosterae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20717,20717,Valid,Cheimarrichthys fosteri
fila.445,Cheirodontops-geayi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4386,4386,Valid,Cheirodontops geayi
fila.446,Chelaethiops-bibie,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2015,2015,Valid,Chelaethiops bibie
fila.447,Chelon-auratus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16939,16939,Valid,Chelon auratus
fila.448,Chelon-dumerili,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16952,16952,Valid,Chelon dumerili
fila.449,Chelon-labrosus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16912,16912,Valid,Chelon labrosus
fila.450,Chelon-ramada,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16930,16930,Valid,Chelon ramada
fila.451,Chelon-richardsonii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=33595,33595,Valid,Chelon richardsonii
fila.452,Chelon-saliens,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16963,16963,Valid,Chelon saliens
fila.453,Chelon-tricuspidens,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16966,16966,Valid,Chelon tricuspidens
fila.454,Chelonodontops-patoca,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23502,23502,Valid,Chelonodon patoca
fila.455,Chetia-brevis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=22850,22850,Valid,Chetia brevis
fila.456,Chetia-flaviventris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=24857,24857,Valid,Chetia flaviventris
fila.457,Chilobrycon-deuterodon,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4468,4468,Valid,Chilobrycon deuterodon
fila.458,Chiloglanis-anoterus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=24942,24942,Valid,Chiloglanis anoterus
fila.459,Chiloglanis-bifurcus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=58400,58400,Valid,Chiloglanis bifurcus
fila.460,Chiloglanis-emarginatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=58399,58399,Valid,Chiloglanis emarginatus
fila.461,Chiloglanis-paratus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=24944,24944,Valid,Chiloglanis paratus
fila.462,Chiloglanis-pretoriae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=53940,53940,Valid,Chiloglanis pretoriae
fila.463,Chiloglanis-swierstrai,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=53941,53941,Valid,Chiloglanis swierstrai
fila.464,Chiloscyllium-griseum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6591,6591,Valid,Chiloscyllium griseum
fila.465,Chiloscyllium-indicum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6594,6594,Valid,Chiloscyllium indicum
fila.466,Chinchaysuyoa-labiata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=48430,48430,Valid,Chinchaysuyoa labiata
fila.467,Chirocentrus-dorab,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1160,1160,Valid,Chirocentrus dorab
fila.468,Chitala-blanci,---,---,---,Chitala-blanci
fila.469,Chitala-lopis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=10125,10125,Valid,Chitala lopis
fila.470,Chitala-ornata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=10122,10122,Valid,Chitala ornata
fila.471,Chlamydogobius-squamigenus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=63640,63640,Valid,Chlamydogobius squamigenus
fila.472,Choeroichthys-sculptus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=14708,14708,Valid,Choeroichthys sculptus
fila.473,Chondrostoma-kinzelbachi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=7963,7963,Valid,Chondrostoma kinzelbachi
fila.474,Chondrostoma-kubanicum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2036,2036,Valid,Chondrostoma kubanicum
fila.475,Chondrostoma-nasus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3102,3102,Valid,Chondrostoma nasus
fila.476,Chondrostoma-prespense,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=52878,52878,Valid,Chondrostoma prespense
fila.477,Chondrostoma-soetta,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3126,3126,Valid,Chondrostoma soetta
fila.478,Chondrostoma-vardarense,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=52879,52879,Valid,Chondrostoma vardarense
fila.479,Chondrostoma-variabile,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=61885,61885,Valid,Chondrostoma variabile
