,Aggregated name,Species links,Catalogue of Fishes ID,Taxonomic standing,Eschmeyer accepted name 
fila.264,Barbus-barbus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3036,3036,Valid,Barbus barbus
fila.265,Barbus-ciscaucasicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1507,1507,Valid,Barbus ciscaucasicus
fila.266,Barbus-kubanicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=31638,31638,Valid,Barbus kubanicus
fila.267,Barbus-plebejus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=63441,63441,Valid,Barbus plebejus
fila.268,Barbus-prespensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1856,1856,Valid,Barbus prespensis
fila.269,Bascanichthys-deraniyagalai,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=24830,24830,Valid,Bascanichthys deraniyagalai
fila.270,Batasio-tengana,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=51784,51784,Valid,Batasio tengana
fila.271,Bathygobius-fuscus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18644,18644,Valid,Bathygobius fuscus
fila.272,Bathygobius-ostreicola,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=21822,21822,Valid,Paragobiopsis ostreicola
fila.273,Batrachoides-goldmani,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=12765,12765,Valid,Batrachoides goldmani
fila.274,Belobranchus-belobranchus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20221,20221,Valid,Belobranchus belobranchus
fila.275,Belobranchus-segura,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=72690,72690,Valid,Belobranchus segura
fila.276,Belodontichthys-dinema,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=46890,46890,Valid,Belodontichthys dinema
fila.277,Belodontichthys-truncatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=65670,65670,Valid,Belodontichthys truncatus
fila.278,Belontia-hasselti,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=21391,21391,Valid,Belontia hasselti
fila.279,Benthophilus-ctenolepidus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18649,18649,Valid,Benthophilus ctenolepidus
fila.280,Benthophilus-ragimovi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=68462,68462,Valid,Benthophilus ragimovi
fila.281,Benthophilus-spinosus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=56195,56195,Valid,Benthophilus spinosus
fila.282,Bidyanus-bidyanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=21386,21386,Valid,Bidyanus bidyanus
fila.283,Bidyanus-welchi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=36222,36222,Valid,Bidyanus welchi
fila.284,Bleheratherina-pierucciae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=70777,70777,Valid,Bleheratherina pierucciae
fila.285,Blicca-bjoerkna,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1976,1976,Valid,Blicca bjoerkna
fila.286,Boesemania-microlepis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=36649,36649,Valid,Boesemania microlepis
fila.287,Boleophthalmus-boddarti,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20037,20037,Valid,Boleophthalmus boddarti
fila.288,Boleophthalmus-dussumieri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19043,19043,Valid,Boleophthalmus dussumieri
fila.289,Bostockia-porosa,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20658,20658,Valid,Bostockia porosa
fila.290,Bostrychus-africanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=44855,44855,Valid,Bostrychus africanus
fila.291,Bostrychus-sinensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19952,19952,Valid,Bostrychus sinensis
fila.292,Botia-almorhae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3068,3068,Valid,Botia almorhae
fila.293,Botia-birdi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=53362,53362,Valid,Botia birdi
